,Step,Value
0,5,0.68932306
1,18,0.6892217786799999
2,24,0.6890462532495999
3,40,0.6884445728521119
4,42,0.6877235662665485
5,45,0.686884196708552
6,53,0.6853963924072956
7,56,0.6838406895950767
8,71,0.6814956217072244
9,74,0.6787041517460077
10,94,0.6741033507036275
11,102,0.6709006419425186
12,106,0.6678680643742432
13,126,0.6633725836230159
14,139,0.6591896859743254
15,150,0.6544285739850956
16,155,0.6492028378655427
17,158,0.6445461964095763
18,167,0.6382921341072891
19,178,0.6306765216940704
20,183,0.6227517148932483
21,185,0.6147930402164509
22,186,0.6065891958999573
23,190,0.5986769422329586
24,198,0.5915325489059698
25,207,0.5843317162887908
26,212,0.576915617820127
27,223,0.5693653732855232
28,229,0.5618439593969574
29,234,0.5545943142150487
30,249,0.5479445037985973
31,255,0.5405038951646393
32,260,0.5335766366797001
33,267,0.5265625189693092
34,271,0.5192213827702299
35,273,0.511977598437123
36,292,0.5043992310140093
37,297,0.49722178147358903
38,303,0.4898375001593814
39,308,0.48285833891459995
40,310,0.47585535746716195
41,318,0.4703485874831471
42,330,0.4650907676986527
43,339,0.4580754246076931
44,347,0.4505693089994623
45,363,0.44489024725947846
46,367,0.4381207256516941
47,377,0.4312729413521432
48,421,0.4242203536915789
49,422,0.41848211504083155
50,439,0.4122109951396066
51,441,0.40615283740541835
52,442,0.4000284939932558
53,445,0.39407542887345814
54,460,0.3891777544872544
55,463,0.38355147443263676
56,464,0.3782167385496577
57,474,0.372373348373168
58,491,0.3680306700119729
59,493,0.36356490241161377
60,512,0.3595723234792654
61,514,0.3557185097248874
62,517,0.3511816043931408
63,525,0.34678531081134656
64,531,0.34391812876700617
65,533,0.34155404639399595
66,536,0.3372223461721761
67,542,0.33439693899701084
68,547,0.3307981051871005
69,557,0.3262671120614875
70,563,0.32173130678964285
71,569,0.3174903048359536
72,573,0.313717023310875
73,579,0.3098213640315487
74,581,0.30600783435060225
75,586,0.30257762156008416
76,587,0.2994803603432816
77,593,0.2965634709229832
78,602,0.29358385307529367
79,620,0.29185063862303484
80,622,0.2894343402643438
81,634,0.2863923490464135
82,641,0.28338174911502106
83,642,0.28046104634157043
84,644,0.27761085928132334
85,647,0.2747785970128836
86,649,0.2729892940524971
87,661,0.27037158036092224
88,664,0.26954090096009453
89,668,0.2668033381712917
90,671,0.26417323273615295
91,674,0.2617869011040683
92,678,0.2593470930209463
93,683,0.2571219740903179
94,688,0.2547671676776083
95,714,0.25259990750728006
96,718,0.2502631146720617
97,722,0.24818302706189982
98,723,0.24617249357004284
99,730,0.24425520126294153
100,739,0.24242400581505327
101,743,0.24046780110060167
102,747,0.2395485218675836
103,752,0.2380169598015561
104,756,0.23640701895750943
105,765,0.23455643712878416
106,769,0.2327888161549206
107,770,0.23126263608027298
108,771,0.22964956877786477
109,773,0.22823900493452884
110,774,0.22673950962649297
111,780,0.2253668701076982
112,785,0.22399183435446723
113,787,0.22265619588383323
114,792,0.22128468162731824
115,793,0.21992979328849868
116,794,0.21857725152984372
117,798,0.21758211080394843
118,802,0.21645389441982998
119,807,0.21575240422723507
120,808,0.21479215336041801
121,809,0.21543292280960546
122,832,0.2153390506853173
123,836,0.21432023398475777
124,869,0.21320214994521505
125,874,0.21203689558685862
126,876,0.21116889551925286
127,882,0.21004223500367528
128,890,0.209915246173565
129,896,0.20896917714835805
130,900,0.2080949947239073
131,907,0.2073475650721901
132,909,0.2063990024800244
133,915,0.20568089714562368
134,917,0.20495852498125497
135,931,0.20407893740181732
136,932,0.2035219902397628
137,942,0.20286406923256992
138,945,0.2048666271255928
139,954,0.20409171800182502
140,958,0.20388010181177027
141,962,0.20431332836741714
142,971,0.20512472758639463
143,972,0.2045997386388028
144,978,0.20384864826963872
145,979,0.20366168100154955
146,984,0.20293647204150306
147,996,0.20308118622025798
148,1002,0.20278514297365025
149,1005,0.20281867088444075
150,1014,0.20226416147790754
151,1017,0.2014452016335703
152,1025,0.2009631957245632
153,1037,0.2006372957728263
154,1044,0.19998403836964151
155,1057,0.19953763703855226
156,1063,0.2009373706773957
157,1066,0.20191877115707382
158,1068,0.2011973797223616
159,1072,0.20055977698069075
160,1076,0.19984191109127003
161,1078,0.19981108263853192
162,1083,0.19929299080937596
163,1084,0.19878700481509468
164,1093,0.19909932720064183
165,1099,0.19838988605462257
166,1103,0.1976904698629839
167,1104,0.19733672909709438
168,1114,0.19666136600418155
169,1119,0.1960510451640561
170,1133,0.1960772908091344
171,1155,0.1956427697948604
172,1156,0.19521045045101457
173,1160,0.19467615475748412
174,1161,0.20029619555475958
175,1162,0.20174533293811678
176,1180,0.20107877634997326
177,1192,0.20055577373947409
178,1193,0.19995869871728988
179,1199,0.2004721980457712
180,1201,0.19974771919439807
181,1206,0.19933290807856613
182,1232,0.19954366251620914
183,1234,0.19887984020072286
184,1244,0.19843271101470117
185,1255,0.19806449641426013
186,1258,0.19749720441183233
187,1261,0.19674561184947736
188,1281,0.19621402724399303
189,1287,0.19555924252667323
190,1294,0.19523755554087302
191,1300,0.19510702441464683
192,1310,0.19466218047220743
193,1316,0.1954754367180412
194,1319,0.19486124189649998
195,1327,0.19431452171960498
196,1330,0.19409944476801683
197,1333,0.19363106041497632
198,1336,0.19331328066252704
199,1337,0.19314975868265122
200,1355,0.19260177572217166
201,1370,0.1924707719705065
202,1385,0.19207705533139127
203,1388,0.19171053935144955
204,1389,0.19169348116090607
205,1391,0.19165855074607888
206,1392,0.1912264482136965
207,1414,0.1910850682572856
208,1419,0.19072024823956704
209,1422,0.19047135407238003
210,1426,0.19010190467020863
211,1428,0.21371596482010238
212,1432,0.2125457842254993
213,1436,0.21384409916873431
214,1440,0.21374687390367228
215,1465,0.2133007706365621
216,1466,0.21325678215746524
217,1477,0.2134670281827413
218,1485,0.21242087966725906
219,1486,0.21130808541724128
220,1489,0.21150624536472404
221,1491,0.21051985003378232
