,Step,Value
0,5,0.148236705
1,18,0.14845841682
2,24,0.1486935963054
3,40,0.149116148066238
4,42,0.14951234156425086
5,45,0.14999992896732334
6,53,0.15062139126830365
7,56,0.15126084144025453
8,71,0.1522823197670469
9,74,0.1533069635340355
10,94,0.15480899781801444
11,102,0.15634967068347402
12,106,0.1576898132029698
13,126,0.1597064558568807
14,139,0.16191886616117426
15,150,0.16456365322633904
16,155,0.16699651032954888
17,158,0.16992565403966242
18,167,0.17271222455847254
19,178,0.17668449679171838
20,183,0.18177285448796682
21,185,0.1862389457733278
22,186,0.19083936883012798
23,190,0.19544166757522413
24,198,0.1992752373579674
25,207,0.2034606385372284
26,212,0.20801704677111155
27,223,0.2131889561479782
28,229,0.21784787571353884
29,234,0.22257811405213265
30,249,0.22758792226056868
31,255,0.23225444778275162
32,260,0.23724198291926907
33,267,0.242361095081691
34,271,0.2476532123792403
35,273,0.25237316369786306
36,292,0.2584587027969272
37,297,0.2639704741630194
38,303,0.27261470748812877
39,308,0.2800779760434849
40,310,0.2884626078821803
41,318,0.2935950898157149
42,330,0.2995297111812435
43,339,0.3079650328158062
44,347,0.323388968581332
45,363,0.328307587813892
46,367,0.3400543351094753
47,377,0.35563293859619105
48,421,0.37646238539830534
49,422,0.3862810093963562
50,439,0.39811823967446547
51,441,0.4118007046042315
52,442,0.4210536959661046
53,445,0.4356912911071215
54,460,0.44002809725390785
55,463,0.4551634961862906
56,464,0.46468551610070186
57,474,0.4939966187176808
58,491,0.4968468253661504
59,493,0.5046199490451659
60,512,0.510004595553811
61,514,0.5138509722771967
62,517,0.5235981371488808
63,525,0.5318813680244144
64,531,0.535016732883682
65,533,0.5352145292471715
66,536,0.5480942643297564
67,542,0.5582747581098637
68,547,0.5626702153665678
69,557,0.5865027979555708
70,563,0.6157567915869037
71,569,0.6466022785092966
72,573,0.6589895967640178
73,579,0.6803323839710973
74,581,0.6950984996219643
75,586,0.7052107983533055
76,587,0.7164233644027063
77,593,0.719890046070625
78,602,0.7303038776085062
79,620,0.727104809230251
80,622,0.7295248171233435
81,634,0.7423615367696432
82,641,0.754447214916554
83,642,0.7791411027390575
84,644,0.7883153335668857
85,647,0.805572396899879
86,649,0.8071698514528827
87,661,0.8235202475592962
88,664,0.8173303969525174
89,668,0.832279676853942
90,671,0.8662187153183238
91,674,0.8764306208687742
92,678,0.8878151840127111
93,683,0.8986204938923298
94,688,0.92591817300556
95,714,0.9422682522953932
96,718,0.9593469742165315
97,722,0.9894429863000356
98,723,1.0000250128610344
99,730,1.0035541745852035
100,739,1.0116846572676474
101,743,1.027251608059618
102,747,1.0203214891978294
103,752,1.0281383694718946
104,756,1.0337282336377378
105,765,1.0535003374586058
106,769,1.0866428247848476
107,770,1.1073749244913023
108,771,1.1386802663565632
109,773,1.1399158643158662
110,774,1.15280546729639
111,780,1.1542539315474984
112,785,1.1644238114110737
113,787,1.1701541987887416
114,792,1.1989065098050795
115,793,1.2099779124909271
116,794,1.2371877134261995
117,798,1.2473911384834135
118,802,1.248030467148911
119,807,1.2376880588844437
120,808,1.2379507691279104
121,809,1.2198964384040731
122,832,1.2096469570519508
123,836,1.2219833547003922
124,869,1.2384318887193806
125,874,1.2570529036677993
126,876,1.2678026699677654
127,882,1.2954664777787324
128,890,1.2814592799353703
129,896,1.3074947445373093
130,900,1.3061350910911902
131,907,1.3021124348584543
132,909,1.3099711234127007
133,915,1.3097073006703197
134,917,1.3125245838802102
135,931,1.335031789283804
136,932,1.32578009689529
137,942,1.3292770788784312
138,945,1.3082313173620783
139,954,1.314497033591216
140,958,1.3038919663134796
141,962,1.2880784488040753
142,971,1.2705013826299532
143,972,1.2674353503010545
144,978,1.2793261264420228
145,979,1.2637997036187623
146,984,1.2681438233301994
147,996,1.2551649949602932
148,1002,1.2538867337514845
149,1005,1.24490270458894
150,1014,1.240518966421272
151,1017,1.258778313888634
152,1025,1.2662040145119748
153,1037,1.2592406252766155
154,1044,1.264301450038317
155,1057,1.2616844397871676
